gameId,Multiplicador
17385155815,2.19
17385155915,1.55
17385156015,2.27
17385156115,6.42
17385156215,1.7
17385156315,2.33
17385156415,1.28
17385156515,11.83
17385156615,1.58
17385156715,6.59
17385156815,2.01
17385156915,1.07
17385157015,3.21
17385157115,1.86
17385157215,2.52
17385157315,1.05
17385157415,1.35
17385157515,9.36
17385157615,10.99
17385157715,1.17
17385157815,1.19
17385157915,2.43
17385158015,1.07
17385158115,1.96
17385158215,1.95
17385158315,1.24
17385158415,1.54
17385158515,2.6
17385158615,10.28
17385158715,1.1
17385158815,1.48
17385158915,1.07
17385159015,1.06
17385159115,3.35
17385159215,2.37
17385159315,20.24
17385159415,1.67
17385159515,1.3
17385159615,5.97
17385159715,1.39
17385159815,1.12
17385159915,9.92
17385160015,1.35
17385160115,1.07
17385160215,1.75
17385160315,4.56
17385160415,1.46
17385160515,1.76
17385160615,1.25
17385160715,3.4
17385160815,1.26
17385160915,1.01
17385161015,1.05
17385161115,5.5
17385161215,1.4
17385161315,2.02
17385161415,1.69
17385161515,7.71
17385161615,1.07
17385161715,1.03
17385161815,1.6
17385161915,2.54
17385162015,3.35
17385162115,84.28
17385162215,2.13
17385162315,1.38
17385162415,1.63
17385162515,2.23
17385162615,1.09
17385162715,1.6
17385162815,2.65
17385162915,1
17385163015,1.17
17385163115,3.49
17385163215,3.7
17385163315,1.55
17385163415,1.69
17385163515,3.43
17385163615,2.22
17385163715,57.08
17385163815,1.04
17385163915,7.27
17385164015,1.27
17385164115,11.07
17385164215,2.03
17385164315,1.38
17385164415,5.96
17385164515,1.22
17385164615,1.16
17385164715,1.56
17385164815,3.1
17385164915,1.09
17385165015,6.12
17385165115,2.53
17385165215,2.29
17385165315,2.22
17385165415,5.43
17385165515,4.84
17385165615,1.18
17385165715,8.3
17385165815,1.27
17385165915,1
17385166015,1.34
17385166115,4.57
17385166215,2.45
17385166315,3.28
17385166415,1.97
17385166515,1.28
17385166615,1.2
17385166715,1.31
17385166815,1.9
17385166915,1.95
17385167015,5.1
17385167115,1.34
17385167215,7.5
17385167315,1.15
17385167415,1.12
17385167515,1.52
17385167615,1.61
17385167715,1.19
17385167815,22.71
17385167915,1.47
17385168015,12.71
17385168115,1.89
17385168215,2.88
17385168315,2.99
17385168415,1.41
17385168515,1.28
17385168615,4.82
17385168715,1.06
17385168815,1.14
17385168915,1.19
17385169015,4.59
17385169115,7.55
17385169215,2.03
17385169315,1
17385169415,1.47
17385169515,2.38
17385169615,40.95
17385169715,4
17385169815,13.94
17385169915,5.65
17385170015,4.71
17385170115,1.33
17385170215,8.94
17385170315,7.48
17385170415,1.18
17385170515,6.09
17385170615,1.1
17385170715,2.61
17385170815,12.94
17385170915,6.86
17385171015,2.13
17385171115,1.76
17385171215,1.92
17385171315,9.21
17385171415,1.16
17385171515,4.51
17385171615,2.27
17385171715,1
17385171815,1.53
17385171915,2.62
17385172015,3.48
17385172115,3.36
17385172215,30.9
17385172315,221.98
17385172415,1.7
17385172515,4.73
17385172615,2.55
17385172715,1.8
17385172815,1.65
17385172915,1
17385173015,1.97
17385173115,1.97
17385173215,18.08
17385173315,2.14
17385173415,16.4
17385173515,1.52
17385173615,2.35
17385173715,1.27
17385173815,2.57
17385173915,105.89
17385174015,3.62
17385174115,4.06
17385174215,2.38
17385174315,1.77
17385174415,7.73
17385174515,1.55
17385174615,1.81
17385174715,53.3
17385174815,1.06
17385174915,3.3
17385175015,1.42
17385175115,1.19
17385175215,5.87
17385175315,12.36
17385175415,1.49
17385175515,13.15
17385175615,1.01
17385175715,1.62
17385175815,1.07
17385175915,2.19
17385176015,2.65
17385176115,1.37
17385176215,1.02
17385176315,1.31
17385176415,3.61
17385176515,2.67
17385176615,1.5
17385176715,3.77
17385176815,11.84
17385176915,1.12
17385177015,1.36
17385177115,175.39
17385177215,4.62
17385177315,2.46
17385177415,4.52
17385177515,1.76
17385177615,34.17
17385177715,1.27
17385177815,1.29
17385177915,2.73
17385178015,47.87
17385178115,1.12
17385178215,24.16
17385178315,1.98
17385178415,1.22
17385178515,6.08
17385178615,1
17385178715,1.2
17385178815,1.5
17385178915,1.8
17385179015,91.55
17385179115,3.31
17385179215,1.1
17385179315,3.83
17385179415,5.64
17385179515,3.13
17385179615,2.12
17385179715,3.43
17385179815,1.45
17385179915,7.2
17385180015,4.18
17385180115,1.68
17385180215,1.53
17385180315,3.19
17385180415,2.77
17385180515,1.34
17385180615,1.87
17385180715,1.11
17385180815,2.42
17385180915,2.59
17385181015,7.07
17385181115,1.13
17385181215,11.79
17385181315,1.33
17385181415,6.62
17385181515,1.46
17385181615,1.51
17385181715,2.65
17385181815,41.2
17385181915,3.67
17385182015,24.71
17385182115,1
17385182215,1.24
17385182315,1.2
17385182415,2.88
17385182515,2.82
17385182615,1.23
17385182715,1
17385182815,1
17385182915,1.05
17385183015,2.81
17385183115,1.17
17385183215,2.81
17385183315,1.25
17385183415,25.33
17385183515,1.51
17385183615,10.56
17385183715,1.05
17385183815,3.63
17385183915,5.71
17385184015,2.95
17385184115,1.16
17385184215,1.19
17385184315,1.42
17385184415,1.13
17385184515,1.72
17385184615,1
17385184715,1.32
17385184815,1.84
17385184915,1.82
17385185015,1.35
17385185115,3.48
17385185215,2.13
17385185315,3.95
17385185415,1.22
17385185515,1.36
17385185615,1.59
17385185715,3.91
17385185815,3.19
17385185915,1.45
17385186015,30.44
17385186115,1.97
17385186215,2.88
17385186315,31.6
17385186415,2.99
17385186515,1.63
17385186615,1.11
17385186715,79.72
17385186815,1.47
17385186915,2.96
17385187015,1
17385187115,1.13
17385187215,1.61
17385187315,17.48
17385187415,2.63
17385187515,2.87
17385187615,1.02
17385187715,1.6
17385187815,5.45
17385187915,19.7
17385188015,2.4
17385188115,1.22
17385188215,2.42
17385188315,4.93
17385188415,2.77
17385188515,9.38
17385188615,1.75
17385188715,1.58
17385188815,3.94
17385188915,2.4
17385189015,1.66
17385189115,1.21
17385189215,2.13
17385189315,7.63
17385189415,35.71
17385189515,2.35
17385189615,1.42
17385189715,1.16
17385189815,2.27
17385189915,1.02
17385190015,1.14
17385190115,1.1
17385190215,1.66
17385190315,32.67
17385190415,3.8
17385190515,4.74
17385190615,1
17385190715,1.35
17385190815,3.4
17385190915,1.27
17385191015,1.13
17385191115,1.26
17385191215,1.68
17385191315,12.21
17385191415,1
17385191515,5.29
17385191615,4.97
17385191715,10.53
17385191815,5.1
17385191915,1.13
17385192015,3.13
17385192115,4.69
17385192215,1.32
17385192315,2.53
17385192415,16.44
17385192515,2.24
17385192615,1.08
17385192715,22.94
17385192815,1.02
17385192915,4.36
17385193015,2.41
17385193115,1.01
17385193215,5.75
17385193315,4.95
17385193415,1.23
17385193515,19.12
17385193615,5.9
17385193715,18.28
17385193815,4.81
17385193915,1
17385194015,22.18
17385194115,1.02
17385194215,7.06
17385194315,3.96
17385194415,1.51
17385194515,1.54
17385194615,2.3
17385194715,2.41
17385194815,1.92
17385194915,1.95
17385195015,1.85
17385195115,57.8
17385195215,1.42
17385195315,1.4
17385195415,4.31
17385195515,12.44
17385195615,2.58
17385195715,1
17385195815,1.17
17385195915,2.22
